title,year,citations_scholar,venue,link,source
Turning on a DIME: Estimating Dimension Importance for Dense Information Retrieval,2024,1.0,"Proc. of the 14th Italian Information Retrieval Workshop 3802, 115-118, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:cww_0JKUTDwC,Scholar
A Quantum Annealing-Based Instance Selection Approach for Transformer Fine-Tuning.,2024,3.0,"IIR, 58-61, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:YGhAHpnIhDoC,Scholar
"“Dead or Alive, we can deny it”. A Differentially Private Approach to Survival Analysis",2024,,"CEUR WORKSHOP PROCEEDINGS 3741, 401-411, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:jRIwE-1ttnoC,Scholar
Overview of idpp@ clef 2024: the intelligent disease progression prediction challenge,2024,8.0,"Working Notes of the Conference and Labs of the Evaluation Forum (CLEF 2024 …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:-38epGy1wY0C,Scholar
Quantumclef 2024: overview of the quantum computing challenge for information retrieval and recommender systems at clef,2024,16.0,"CEUR WORKSHOP PROCEEDINGS 3740, 3032-3053, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:j2GSQqY3pL0C,Scholar
SEUPD@ CLEF: team axolotl on rumor verification using evidence from authorities,2024,3.0,"Faggioli et al.[22], 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Q3-QASNKTMEC,Scholar
Seupd@ clef: team dam on reranking using sentence embedders,2024,1.0,"Faggioli et al.[12], 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:gFrPXmx1TSsC,Scholar
SEUPD@ CLEF: Team Kalu on improving Search Engine Performance with Query Expansion and Re-Ranking Approach,2024,,"CEUR WORKSHOP PROCEEDINGS 3740, 2290-2303, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:IvSMUa3B7yYC,Scholar
Seupd@ clef: team mouse on enhancing search engines effectiveness with large language models,2024,3.0,"Faggioli et al.[12], 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Ei5r6KrKXVQC,Scholar
Seupd@ clef: team iris on temporal evolution of query expansion and rank fusion techniques applied to cross-encoder re-rankers,2024,3.0,"Faggioli et al.[12], 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:WM2K3OHRCGMC,Scholar
"PNRRorienta: A Web Application for Managing Schools, Courses, and Students Involved in the PNRR Orientation Initiative",2024,1.0,"CEUR WORKSHOP PROCEEDINGS 3741, 468-476, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:RJNGbXJAtMsC,Scholar
Cameo: Fostering joint conversational search and recommendation,2024,4.0,"Proc. 32nd Italian Symposium on Advanced Database Systems (SEBD 2024), 290-301, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:pxXbYLTb8EgC,Scholar
Query Obfuscation for Information Retrieval through Differential Privacy,2024,12.0,"46th European Conference on Information Retrieval, ECIR 2024 2024, 278-294, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:U5uP8zs9lfgC,Scholar
CLEF 2024 Working Notes,2024,20.0,"CEUR WORKSHOP PROCEEDINGS 3740, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:rpSJNIKeXWsC,Scholar
"On the Ordering of Pooled Web Pages, Gold Assessments, and Bronze Assessments",2024,3.0,"ACM Transactions on Information Systems 42 (1), 23:1-23:31, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:vxA22ZmNLkoC,Scholar
iDPP@ CLEF 2024: The Intelligent Disease Progression Prediction Challenge,2024,9.0,"46th European Conference on Information Retrieval, ECIR 2024, 53--59, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:wBLCggQE-ToC,Scholar
Report on the 1st workshop on query performance prediction and its evaluation in new tasks (qpp++ 2023) at ecir 2023,2023,6.0,"ACM SIGIR Forum 57 (1), 1-7, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:IHkkN1K1AlAC,Scholar
Report on the Dagstuhl seminar on frontiers of information access experimentation for research and education,2023,11.0,"ACM SIGIR Forum 57 (1), 1-28, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:u0Mu_IsstPMC,Scholar
EVIA 2023 Conference Organization,2023,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:hEXC_dOfxuUC,Scholar
How Discriminative Are Your Qrels? How To Study the Statistical Significance of Document Adjudication Methods,2023,4.0,"Proceedings of the 32nd ACM International Conference on Information and …, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:It0W0vAlS5QC,Scholar
Intelligent disease progression prediction: overview of iDPP@ CLEF 2023,2023,12.0,"International Conference of the Cross-Language Evaluation Forum for European …, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:ZysSsiWj_g4C,Scholar
